"filename", "language", "YAML", "Dart", "Groovy", "JSON", "comment", "blank", "total"
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\android\app\build.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\android\app\google-services.json", "JSON", 0, 0, 0, 40, 0, 0, 40
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\android\build.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\drawer\drawer.dart", "Dart", 0, 10, 0, 0, 0, 0, 10
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\drawer\footer.dart", "Dart", 0, 32, 0, 0, 0, 1, 33
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\main.dart", "Dart", 0, 63, 0, 0, 0, 7, 70
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\models\topic.dart", "Dart", 0, 96, 0, 0, 0, 12, 108
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\providers\topics.dart", "Dart", 0, -30, 0, 0, 0, -3, -33
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\auth_process\forgotpass_screen.dart", "Dart", 0, 218, 0, 0, 0, 13, 231
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\auth_process\login_screen.dart", "Dart", 0, 365, 0, 0, 0, 19, 384
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\auth_process\signup_screen.dart", "Dart", 0, 467, 0, 0, 0, 24, 491
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\auth_process\welcome_screen.dart", "Dart", 0, 383, 0, 0, 0, 8, 391
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\add_association.dart", "Dart", 0, 67, 0, 0, 0, 3, 70
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\add_topic.dart", "Dart", 0, 122, 0, 0, -4, -4, 114
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\association_body_region.dart", "Dart", 0, 4, 0, 0, 0, -5, -1
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\association_color.dart", "Dart", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\association_shape.dart", "Dart", 0, 196, 0, 0, 2, 4, 202
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\associations.dart", "Dart", 0, 136, 0, 0, 13, 6, 155
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\cancel_alert.dart", "Dart", 0, 42, 0, 0, 0, 2, 44
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\create_topic\charge_level.dart", "Dart", 0, 33, 0, 0, -1, 1, 33
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\help_screen.dart", "Dart", 0, 32, 0, 0, 0, 3, 35
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\iedata.dart", "Dart", 0, 32, 0, 0, 0, 3, 35
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\drawer\settings_screen.dart", "Dart", 0, 634, 0, 0, 0, 23, 657
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_body.dart", "Dart", 0, 241, 0, 0, 0, 13, 254
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_color.dart", "Dart", 0, 133, 0, 0, 0, 10, 143
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_information.dart", "Dart", 0, 303, 0, 0, 0, 10, 313
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_stress_level.dart", "Dart", 0, 114, 0, 0, 0, 7, 121
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\edit_topic\edit_topic.dart", "Dart", 0, 259, 0, 0, 9, 12, 280
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\help_screen.dart", "Dart", 0, -15, 0, 0, 0, -3, -18
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\login_screen.dart", "Dart", 0, -172, 0, 0, 0, -7, -179
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\main_patient_screen.dart", "Dart", 0, -88, 0, 0, 0, -8, -96
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\settings_screen.dart", "Dart", 0, -146, 0, 0, 0, -3, -149
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\signup_screen.dart", "Dart", 0, -223, 0, 0, -3, -10, -236
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topic_item.dart", "Dart", 0, 174, 0, 0, 13, 13, 200
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topic_panel.dart", "Dart", 0, 147, 0, 0, 0, 8, 155
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\topics_panel\topics_list.dart", "Dart", 0, 79, 0, 0, 49, 9, 137
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\screens\welcome_screen.dart", "Dart", 0, -375, 0, 0, 0, -6, -381
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\drawing_painter.dart", "Dart", 0, 32, 0, 0, 0, 8, 40
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\loading_spinner.dart", "Dart", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\shapes_painter.dart", "Dart", 0, 91, 0, 0, 0, 23, 114
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\styles.dart", "Dart", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\utilities\title_app.dart", "Dart", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\lib\widgets\topics_list.dart", "Dart", 0, -73, 0, 0, 0, -4, -77
"c:\Users\Kaiser\ProyectosFlutters\stress_record_app\pubspec.yaml", "YAML", 9, 0, 0, 0, 2, 2, 13
"Total", "-", 9, 3399, 2, 40, 80, 191, 3721